candidate_id,rank,score,reasoning
CAND_0039754,1,200.098651,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0046064,2,196.134800,"Recommended due to matches key skills (python, bm25), relevant experience and suitable education."
CAND_0018499,3,193.162310,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0055905,4,189.396884,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0081846,5,188.204083,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0041611,6,184.975131,"Recommended due to matches key skills (llm, bm25), relevant experience and suitable education."
CAND_0086022,7,179.991213,"Recommended due to matches key skills (embeddings, llm), relevant experience and suitable education."
CAND_0092278,8,177.966009,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0011687,9,174.250816,"Recommended due to matches key skills (embeddings), relevant experience and suitable education."
CAND_0033861,10,172.805416,"Recommended due to matches key skills (machine learning, llm), relevant experience and suitable education."
CAND_0005260,11,172.439072,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0008425,12,171.084569,"Recommended due to matches key skills (python, retrieval), relevant experience and suitable education."
CAND_0046525,13,168.567661,"Recommended due to matches key skills (machine learning, retrieval), relevant experience and suitable education."
CAND_0007411,14,164.790734,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0071974,15,164.742964,"Recommended due to matches key skills (machine learning, embeddings), relevant experience and suitable education."
CAND_0094759,16,155.336305,"Recommended due to matches key skills (llm), relevant experience and suitable education."
CAND_0088025,17,154.903552,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0093547,18,153.630208,"Recommended due to matches key skills (python, machine learning), relevant experience and suitable education."
CAND_0077337,19,152.102067,"Recommended due to matches key skills (python, retrieval), relevant experience and suitable education."
CAND_0070398,20,148.482710,"Recommended due to matches key skills (python, embeddings), relevant experience and suitable education."
CAND_0086151,21,146.664989,"Recommended due to matches key skills (embeddings, bm25), relevant experience and suitable education."
CAND_0002025,22,145.836262,"Recommended due to matches key skills (python, llm), relevant experience and suitable education."
CAND_0026532,23,145.142542,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0028793,24,144.166307,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
CAND_0005649,25,143.674461,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0066376,26,141.374386,"Recommended due to matches key skills (retrieval, llm), relevant experience and suitable education."
CAND_0069905,27,140.887676,"Recommended due to matches key skills (python), relevant experience and suitable education."
CAND_0055992,28,140.403842,"Recommended due to matches key skills (embeddings, retrieval), relevant experience and suitable education."
